"","Incident","Location","Reported","Occurred","Comments","Disposition","UCPDI#","latitude","longitude"
"4540","Harassment by Electronic Means","57th between Drexel & Ellis","3/14/11 9:00 AM","2/7/11 to 3/4/11 various","Complainant received several harassing, vulgar text messages and phone calls from unidentified individual","Open","A00017",41.822842,-87.606185
"4541","Theft","5815 S. Maryland (Mitchell Hospital)","3/14/11 4:07 PM","3/10/11 7:30 AM to 9:00 AM","Unknown person took unattended i-Phone from table in patient's room","Open","A00018",41.789267,-87.604888
"4542","Criminal Damage to Property","55th between Ellis and Greenwood","3/14/11 9:18 PM","3/14/11 8:45 PM to 9:05 PM","Unknown person smashed rear passenger's side window of vehicle parked on the street","Open","A00019",41.844519,-87.614738
"4543","Theft from Motor Vehicle","Greenwood between 53rd & 54th","3/12/11 9:44 AM","3/11/11 11:00 PM to 3/12/11 9:00 AM","Unknown person took a MacBook Pro laptop computer, Two i-Pod touch devices, a leather portfolio from the trunk of an unlocked car parked on the street","Open","A00012",41.814621,-87.599369
"4544","Injured Person","5815 S. Maryland (Public Sidewalk)","3/12/11 12:11 PM","3/12/11 10:25 AM","Woman slipped on ice and fell to the sidewalk / Injured knees, right elbow, and right hand / Treated for injuries at ER","Closed","A00013",41.789267,-87.604888
"4545","Theft","6025 S. Ellis (South Campus Dining Hall)","3/12/11 2:22 PM","3/10/11 8:10 PM to 9:10 PM","Unattended laptop computer left on a table was taken by unknown person","Open","A00014",41.785483,-87.601105
"4546","Theft","5706 S. University (Reynolds Club)","3/12/11 5:25 PM","3/12/11 12:30 PM to 4:00 PM","Unattended bag containing a laptop computer placed on the floor in lounge was taken by unknown person","Open","A00015",41.791316,-87.598148
"4547","Theft","1362 E. 59th St. (Lab School)","3/11/11 12:24 PM","3/11/11 12:10 PM to 12:12 PM","Unknown person took unattended wallet from table in hallway","Open","A00009",41.787914,-87.592867
"4548","Theft","1212 E. 59th St. (Ida Noyes)","3/11/11 11:57 PM","3/11/11 9:00 PM","Unknown person took unattended bag containing laptop computer from hallway / All items later recovered near 56th & Cornell","Open","A00011",41.787881,-87.596225
"4549","Theft","5835 S. Kimbark (Lab School)","3/10/11 8:40 AM","3/7/11 to 3/8/11 2:20 PM to 8:00 AM","i-Mac desktop computer taken from unlocked classroom","Open","A00007",41.78901,-87.594705
"4550","Miscellaneous","Lake Shore between 50th & 51st","3/10/11 4:55 PM","1/31/11 to 3/5/11 8:00 PM to 8:00 PM","Complainant sought advice relating to a domestic matter","Closed","A00008",41.845237,-87.610613
"4551","Theft","924 E. 57th St. (BSLC Green House)","3/8/11 11:11 AM","3/8/11 11:00 AM to 11:05 AM","Unknown person took unattended laptop computer from an unsecured office","Open","A00001",41.87603,-87.648349
"4552","Lost Property","5815 S. Maryland (Mitchell Hospital)","3/8/11 12:41 PM","3/4/11 7:00 PM to 8:00 PM","Patient lost cell phone / Possibly mixed with bed laundry","Closed","A00002",41.789267,-87.604888
"4553","Theft","Hyde Park between Harper and Lake Park","3/8/11 7:01 PM","3/8/11 12:30 PM to 12:45 PM","Unknown person gained possession of victim's wallet / Victim subsequently was informed of unauthorized use of her credit cards","Open","A00003",41.767862,-87.587936
"4554","Theft","5706 S. University (Reynolds Club)","3/8/11 7:32 PM","3/8/11  3:30 PM to 6:30 PM","Unattended book bag placed on the floor was taken by an unknown person","Open","A00004",41.791316,-87.598148
"4555","Armed Robbery","Woodlawn between 62nd & 63rd","3/8/11 8:08 PM","3/8/11 7:50 PM","Two males, one armed with a handgun, took cash from a man walking on the sidewalk","Open","A00005",41.82334,-87.871025
"4556","Battery","901 E. 58th St. (Mitchell Hospital ER)","3/8/11 11:18 PM","3/8/11 11:10 PM","Male struck female companion during the course of a domestic argument / Arrest by UCPD","Arrest","A00006",41.912085,-87.640506
"4557","Theft","5727 S. University (Math Building)","3/7/11 7:38 AM","3/4/11 12:30 PM to 1:00 PM","Unknown person took unattended laptop computer from unlocked office","Open","X0261",41.790947,-87.59799
"4558","VOID","VOID","VOID","VOID","Number issued in error","VOID","X0255",40.559156,-90.176783
"4559","Liquor Law Violation","5640 S. University (Max Palevsky)","3/6/11 3:48 AM","3/6/11 3:48 AM","CFD EMS transported a sick person to the hospital for observation","Closed","X0256",41.792504,-87.59818
"4560","Theft","East View Park between 54th & 55th","3/6/11 11:16 AM","3/5/11 to 3/6/11 7:00 PM to 8:30 AM","Unknown person took a bicycle helmet, shoes, and four pair of boots from the hallway of residential building","Open","X0257",41.794455,-87.593286
"4561","Injured Person","1212 E. 59th St. (Ida Noyes)","3/6/11 2:22 PM","3/6/11 2:00 PM","Woman slipped walking down stairs injuring her right ankle / Declined CFD EMS","Closed","X0258",41.787881,-87.596225
"4562","Theft","5815 S. Maryland (Mitchell Hospital)","3/6/11 2:46 PM","3/6/11 1:30 PM to 2:30 PM","Unknown person took a purse that was placed on an empty chair at a table in restaurant","Open","X0259",41.789267,-87.604888
"4563","Criminal Damage to Property","5815 S. Maryland (Mitchell Hospital)","3/6/11 10:44 PM","3/6/11 6:45 PM to 7:25 PM","Unknown person opened locker in staff locker room and cut complainant's clothing","Open","X0260",41.789267,-87.604888
"4564","Fire Alarm","1100 E. 57th St. (Regenstein Library)","3/5/11 6:59 AM","3/5/11 6:59 AM","Alarm triggered by dust and fumes from construction site / CFD responded / No smoke, no fire","Closed","X0252",41.791492,-87.599098
"4565","Fire Alarm","1414 E. 59th St. (International House)","3/5/11 12:24 PM","3/5/11 12:24 PM","Alarm malfunction / CFD responded / No smoke, no fire","Closed","X0253",41.787933,-87.591008
"4566","Animal Bite","53rd between Kimbark & Kenwood (Nichols Park)","3/5/11 2:30 PM","3/5/11 11:45 AM","Woman bitten on the leg by a dog","Closed","X0254",41.808827,-87.595192
"4567","Theft","University between 54th & 55th","3/4/11 1:21 PM","3/4/11 1:18 PM","Three males took a bicycle from the rear of a residence / Arrest by UCPD","Arrest","X0247",41.802349,-87.598247
"4568","Possession of Cannabis","Kimbark between 53rd & 54th","3/4/11 7:15 PM","3/4/11 7:15 PM","UCPD officers arrested a man for possession of marijuana","Arrest","X0248",41.808827,-87.595192
"4569","Public Peace Violation","57th at Lake Park","3/4/11 10:34 PM","3/4/11 10:34 PM","UCPD officers arrested a man wanted on a warrant","Arrest","X0250",41.831209,-87.608286
"4570","Lost Property","Unknown - Campus Area","3/4/11 10:36 PM","3/3/11 to 3/4/11 10:30 PM to 3:30 AM","Woman reported losing her wallet somewhere in the campus area","Closed","X0249",41.863278,-87.647325
"4571","Attempt Armed Robbery","Ridgewood Ct. between 54th & 55th","3/4/11 10:44 PM","3/4/11 9:50 PM","Two unknown males, armed with a handgun, attempted to take property from a woman / Suspects fled without taking property","Open","X0251",41.970116,-87.843072
"4572","Lost Property","5815 S. Maryland (Mitchell Hospital)","3/3/11 8:16 AM","3/2/11 2:00 PM to 3:00 PM","Staff member lost file cabinet key","Closed","X0244",41.789267,-87.604888
"4573","Theft","53rd between Greenwood & University","3/3/11 10:55 AM","2/26/11 12:00 PM to 1:00 PM","Unknown person took UPS package from apartment building hallway","Open","X0245",42.32732,-88.447913
"4574","Found Property","5640 S. University (Bartlett Commons)","3/3/11 3:35 PM","3/3/11 9:00 AM","Staff member found three syringes and a glass tube in the restroom / Suspect narcotics paraphernalia turned over to CPD","Closed","X0246",41.792504,-87.59818
"4575","Theft","5815 S. Kimbark (Lab School)","3/2/11 9:11 AM","3/1/11 to 3/2/11 4:15 PM to 8:00 AM","Four Mac Mini computers taken from unsecured classroom","Open","X0242",41.789381,-87.594714
"4576","Miscellaneous","5841 S. Maryland (Chicago Lying-In Hospital)","3/2/11 3:53 PM","3/1/11 11:00 AM","Staff member reported a phone call from an unknown irate caller","Closed","X0243",41.788784,-87.604882
"4577","Miscellaneous","58th near University","3/1/11 1:28 PM","2/28/11 12:45 PM to 3:40 PM","Front license plate missing from University owned truck","Closed","X0239",41.863546,-87.647277
"4578","Injured Person","5721 S. Maryland (Comer Hospital)","3/1/11 7:06 PM","3/1/11 6:35 PM","Woman slipped on wet floor in lobby injuring her right knee / Declined medical attention","Closed","X0240",41.790944,-87.604874
"4579","Damage to Property","5840 S. Maryland (Parking Structure)","3/1/11 8:19 PM","3/1/11 8:15 PM","Overhead light fixture on 4th floor of structure fell damaging parked vehicle","Closed","X0241",41.788803,-87.604882
"4580","Burglary","54th between Ellis and Greenwood","2/28/11 1:39 PM","2/28/11 11:30 AM to 12:30 PM","Unknown person entered apartment via unlocked rear window / Took two cameras, camera lens, laptop computer","Open","X0236",41.844519,-87.614738
"4581","Theft","5316 S. Dorchester (Gaylord Apts.)","2/28/11 1:43 PM","2/25/11 to 2/28/11 11:30 AM to 1:40 PM","Front door key taken from ""postal key keeper"" box","Open","X0238",41.799272,-87.591855
"4582","Public Peace Violation","5807 S. Woodlawn (Booth School)","2/28/11 2:03 PM","2/28/11 2:00 PM","UCPD officers arrested a man wanted on a warrant","Arrest","X0237",41.789512,-87.596337
"4583","Lost Property","901 E. 58th St. (Mitchell ER)","2/27/11 5:36 AM","2/24/11 4:00 AM to 5:00 AM","Man believes he lost his cell phone while in ER","Closed","X0234",41.912085,-87.640506
"4584","Aggravated Robbery","Hyde Park at Kenwood","2/27/11 8:31 PM","2/27/11 8:30 PM","Suspect approached victim walking on the sidewalk, implied he had a weapon took victim's wallet / Arrested by UCPD / Property recovered","Arrest","X0235",41.802281,-87.604202
"4585","Irregular Conditions","6054 S. Drexel (UCPD HQ)","2/26/11 8:51 AM","2/26/11 7:45 AM","East exterior door lock malfunctioning / Facilities notified","Closed","X0230",41.802285,-87.603783
"4586","Non Criminal Incident","Stony Island between 58th & 59th","2/26/11 11:39 AM","2/26/11 10:45 AM","Person transported to UCMC for observation","Closed","X0231",41.747847,-87.585448
"4587","Damage to Property","53rd between Greenwood and University","2/26/11 1:04 PM","2/26/11 12:45 PM to 1:00 PM","Pane of glass broken in exterior front door","Closed","X0232",42.327332,-88.444812
"4588","Theft from Motor Vehicle","Ellis between 60th & 61st","2/26/11 6:29 PM","2/26/11 5:30 PM to 6:20 PM","Unknown person smashed front passenger's side window of vehicle parked on the street and took a MacBook computer","Open","X0233",41.785536,-87.625466
"4589","Theft","Woodlawn between 57th & 58th","2/25/11 1:20 AM","2/24/11 to 2/25/11 11:35 PM to 12:35 AM","Unattended wallet taken from coat room during a party","Open","X0227",41.82334,-87.871025
"4590","Criminal Damage to Property","1170 E. 58th St. (CTS)","2/25/11 10:09 AM","2/10/11 t0 2/21/11 1:30 PM to 7:00 AM","Two window screens on the first floor were cut","Open","X0228",41.78954,-87.597367
"4591","Lost Property","Out of Area - Wilmette IL","2/15/11 1:44 PM","12/15/10 4:00 PM","Complainant lost driver's license","Closed","X0229",41.973199,-87.86681
"4592","Information","6054 S. Drexel (UCPD HQ)","2/24/11 12:10 PM","2/24/11 12:05 PM","Information received relating to possible criminal activity","Closed","X0224",41.802285,-87.603783
"4593","Armed Robbery","63rd at Ellis","2/24/11 3:29 PM","2/24/11 3:25 PM","Male armed with a handgun took cell phone from a male walking on the sidewalk","Open","X0225",41.831196,-87.609555
"4594","Homicide","Cottage Grove between 61st & 62nd","2/24/11 9:15 PM","2/24/11 9:15 PM","Man sitting in a parked car fatally shot by unknown person(s)","Open","X0226",41.823965,-87.606872
"4595","Fire Alarm","5630 S. University (Max Palevsky)","2/23/11 2:04 AM","2/23/11 2:04 AM","Alarm malfunction / CFD responded / No smoke, no fire","Closed","X0223",41.792689,-87.598183
"4596","Fire Alarm","929 E. 57th St. (Gordon Center)","2/22/11 7:18 AM","2/22/11 7:18 AM","Apparent alarm malfunction / CFD responded / No smoke, no fire","Closed","X0219",41.957329,-87.653539
"4597","Injured Person","5505 S. Ellis (Parking Structure)","2/22/11 11:10 AM","2/22/11 11:00 AM","UCPD officer slipped on wet surface and fell injuring his right hand and knee","Closed","X0220",41.794915,-87.601274
"4598","Theft","1212 E. 59th St. (Ida Noyes)","2/22/11 8:02 PM","2/22/11 7:30 PM to 8:00 PM","Unknown person took an unattended Dell laptop computer placed under a desk in the Pub","Open","X0221",41.787881,-87.596225
"4599","Miscellaneous","57th at Woodlawn","2/22/11 9:34 PM","2/22/11 9:33 PM","Bus turning left struck a bicyclist at the intersection / CFD EMS transported cyclist to ER","Closed","X0222",38.323529,-89.034948
"4600","Irregular Conditions","6054 S. Drexel (UCPD Headquarters)","2/21/11 12:39 AM","2/21/11 12:39 AM","Lock malfunction on exterior door reported / Facilities notified","Closed","X0213",41.784763,-87.604481
"4601","Criminal Damage to Property","1414 E. 59th St. (International House)","2/21/11 1:35 AM","2/21/11 1:35 AM","Unknown person broke glass on vending machine","Open","X0214",41.787933,-87.591008
"4602","Theft","1362 E. 59th St. (Lab School)","2/21/11 9:55 AM","2/17/11 to 2/18/11 8:45 AM to 8:45 AM","Unknown person took cash from a desk drawer in a classroom","Open","X0215",41.787914,-87.592867
"4603","Miscellaneous","59th at Blackstone","2/21/11 8:36 PM","2/21/11 8:36 PM","Motorist struck the rear of U Chicago bus stopped at a stop sign / No injuries reported","Closed","X0216",41.804251,-87.590539
"4604","Injured Person","1414 E. 59th St. (International House)","2/21/11 10:10 PM","2/21/11 10:00 PM","Man slipped on front entrance stairs, falling and cutting the palm of his left hand / Treated at ER","Closed","X0217",41.787933,-87.591008
"4605","Irregular Conditions","5730 S. Ellis (Crerar Library)","2/21/11 11:33 PM","2/21/11 11:00 PM","Water leak reported on the third floor / Building engineer contacted","Closed","X0218",38.00446,-89.900154
"4606","Theft","Out of Area - Midway Apt.","2/20/11 11:30 AM","2/18/11 8:45 AM","Unknown person took unattended wallet from seat on CTA bus","CPD Investigation","X0209",40.560601,-89.61115
"4607","Lost Property","55th & Lake Park / 56th & University","2/20/11 12:05 PM","2/19/11 10:00 PM to 11:05 PM","Woman lost her purse either in restaurant or bus","Closed","X0210",41.831209,-87.608286
"4608","Theft","Woodlawn between 52nd & 53rd","2/20/11 1:06 PM","2/19/11 to 2/20/11 9:30 PM to 4:30 AM","Unknown person took MacBook laptop computer from private apartment","Open","X0211",41.82334,-87.871025
"4609","Criminal Damage to Vehicle","Harper between 58th & 59th","2/20/11 2:38 PM","2/18/11 to 2/19/11 7:30 PM to 5:15 PM","Unknown person slashed tire of car parked on the street","Open","X0212",41.791615,-87.589528
"4610","Lost Property","5815 S. Maryland (Mitchell Hospital)","2/19/11 5:06 PM","2/19/11 4:10 PM","Patient reports eyeglasses missing","Closed","X0207",41.789267,-87.604888
"4611","Theft","5721 S. Maryland (Comer Hospital)","2/19/11 10:27 PM","2/19/11 7:00 AM to 6:20 PM","Unknown person removed a Sony Playstation 2 game system from a patient waiting area","Open","X0208",41.790944,-87.604874
"4612","Fire Alarm","5807 S. Woodlawn (Booth School)","2/18/11 3:26 AM","2/18/11 3:26 AM","Fire alarm triggered due to fault in water pump system / CFD responded / no smoke, no fire","Closed","X0203",41.789512,-87.596337
"4613","Battery","1414 E. 59th St. (I-House)","2/18/11 5:19 AM","2/18/11 5:10 AM","Man struck another man in the face during the course of an argument / Victim declined charges","Closed","X0204",41.787933,-87.591008
"4614","Information","901 E. 58th St. (Mitchell ER)","2/18/11 11:31 AM","2/18/11 11:25 AM","Verbal altercation between two staff members","Closed","X0205",41.912085,-87.640506
"4615","Armed Robbery","Maryland at 54th","2/18/11 6:08 PM","2/18/11 6:05 PM","Two unknown males and a female followed victim from Indiana casino, forced him into a car and took $6,000 from him at gunpoint","Open","X0206",41.798632,-87.605131
"4616","Irregular Conditions","900 E. 57th (Knapp Center)","2/17/11 1:35 AM","2/17/11 1:35 AM","Overhang at entrance of the building damaged / Possible water damage","Closed","X0195",41.791364,-87.603741
"4617","Irregular Conditions","5659 S. Ellis (Construction Site)","2/17/11 3:08 AM","2/16/11 10:20 PM","UCPD officers observed water gushing from a fire hydrant in construction area / City Water Dept. gained entry to site to repair leaking hydrant","Closed","X0196",41.792136,-87.601245
"4618","Theft / Purse Snatch","57th at Harper","2/17/11 9:34 AM","2/17/11 9:34 AM","Male grabbed a purse from a woman walking on the street / A University staff member pursued the suspect and held him for UCPD","Arrest","X0197",41.782885,-87.589263
"4619","Theft","5525 S. Ellis (Credit Union)","2/17/11 12:17 PM","1/1/11 to 1/11/11 8:00 AM to 4:00 PM","Theft investigation","Open","X0198",41.794581,-87.601301
"4620","Suspicious Activity","5316 S. Dorchester (Gaylord Apts.)","2/17/11 4:36 PM","2/16/11 to 2/17/11 6:00 PM to 3:00 PM","Tenant discovered two UPS packages were taken from the mail room and found open but intact in the recycling room","Closed","X0199",41.799272,-87.591855
"4621","Attempt Robbery","Woodlawn at 56th","2/17/11 5:11 PM","2/17/11 1:10 PM","Male approached a woman walking on the sidewalk and demanded her wallet and cell phone / Woman continued walking and suspect fled upon seeing a UCPD patrol car","Open","X0200",41.82334,-87.871025
"4622","Aggravated Battery","63rd at Ingleside","2/17/11 7:10 PM","2/17/11 5:50 PM","Man walking on the sidewalk shot in the leg by unknown person / Transported to ER by CFD EMS","Open","X0201",42.373157,-88.14978
"4623","Theft","5316 S. Dorchester (Gaylord Apts.)","2/17/11 7:12 PM","2/9/11 4:55 PM to 7:00 PM","Unknown person took a UPS package containing woman's apparel from the mail room","Open","X0202",41.799272,-87.591855
"4624","Theft","5706 S. University (Hutchinson Commons)","2/16/11 1:22 PM","2/16/11 12:15 PM","Unattended UC ID card left on table was taken by an unknown person","Open","X0192",41.791316,-87.598148
"4625","Miscellaneous","5758 S. Maryland (DCAM)","2/16/11 1:55 PM","2/16/11 1:20 PM","Note handed to a staff member by an outpatient turned over to CPD for follow up","Closed","X0193",41.790253,-87.605016
"4626","Cyber Stalking","1414 E. 59th St. (I-House)","2/16/11 6:59 PM","12/15/10 to 2/13/11","Unknown person has conveyed several unwanted,  harassing email messages to complainant","Open","X0194",41.787933,-87.591008
"4627","Found Property","5721 S. Maryl;and (Comer Hospital)","2/15/11 11:39 AM","2/15/11 11:30 AM","Staff member found suspected cannabis in the hallway / Property turned over to CPD","Closed","X0188",41.790944,-87.604874
"4628","Disorderly Conduct","57th between Kimbark & Kenwood","2/15/11 4:56 PM","2/15/11 4:45 PM","Man arrested by UCPD for violating a court order prohibiting him from loitering in front of a business establishment","Arrest","X0189",41.808827,-87.595192
"4629","Ambulance Request","6031 S. Ellis (South Campus Residence Hall)","2/15/11 9:20 PM","2/15/11 9:20 PM","Sick person transported to the hospital by CFD EMS","Closed","X0190",41.785372,-87.601103
"4630","Armed Robbery","Ellis between 61st & 62nd","2/14/11 11:35 AM","2/14/11 11:30 AM","Unknown man, armed with a handgun, took property from a man walking on the sidewalk","Open","X0184",41.783816,-87.619625
"4631","Fire Alarm","5640 S. University (Bartlett Commons)","2/14/11 11:44 AM","2/14/11 11:44 AM","Alarm malfunction / CFD responded / no smoke, no fire","Closed","X0183",41.792504,-87.59818
"4632","Burglary","Harper between 54th & 55th","2/14/11 7:50 PM","2/14/11 9:00 AM to 7:30 PM","Unknown person pried front door of residential apartment to gain entry and took a Canon digital camera","Open","X0185",41.791615,-87.589528
"4633","Irregular Conditions","920 E. 58th St. (Cummings Life Science)","2/14/11 9:00 PM","2/14/11 9:00 PM","Man freed from stuck elevator","Closed","X0186",41.78946,-87.603938
"4634","Injured Person","59th between Kenwood & Dorchester","2/14/11 11:10 PM","2/14/11 11:10 PM","Woman slipped on ice on the public sidewalk, fell injuring her right ankle / Transported to ER by CFD EMS","Closed","X0187",40.113752,-88.286098
"4635","Disturbance","901 E. 58th St. (Mitchell ER)","2/13/11 5:26 AM","2/13/11 5:15 AM","Patient created a disturbance in ER / Peace restored","Closed","X0181",41.912085,-87.640506
"4636","Robbery","Kenwood between 60th & 61st","2/13/11 2:39 PM","2/13/11 2:39 PM","Woman walking on the sidewalk was pushed to the ground by an unknown man who took her purse and ran to an awaiting vehicle that drove off","Open","X0179",41.785541,-87.624657
"4637","Fire Alarm","5840 S. Kenwood (Lab School)","2/13/11 3:52 PM","2/13/11 3:52 PM","Alarm malfunction / CFD responded / No smoke, no fire","Closed","X0180",41.789383,-87.593238
"4638","Theft of Motor Vehicle","Dorchester between 58th & 59th","2/13/11 7:58 PM","2/13/11 4:30 PM","Complainant saw a man drive off in her 1999 2-door gray Buick LeSabre that had been parked on the street","Open","X0182",41.809382,-87.592069
"4639","Irregular Conditions","6054 S. Drexel (DSS Building)","2/12/11 4:54 AM","2/12/11 4:54 AM","Exterior door would not secure properly / Facilities notified","Closed","X0177",41.802285,-87.603783
"4640","Security Alarm","5801 S. Kenwood (Lillie House)","2/12/11 4:50 PM","2/12/11 4:50 PM","UCPD units responding to a security alarm found third floor window open / Premise secure","Closed","X0178",41.789659,-87.593172
"4641","Injured Person","5604 S. Ellis (Research Inst.)","2/11/11 9:51 AM","2/11/11 9:00 AM","Two construction workers loaded a hand-operated forklift onto a freight elevator / Elevator fell one floor / Workers transported to ER by CFD EMS for treatment","Closed","X0176",41.793136,-87.601416
"4642","Battery","57th & University","2/10/11 2:04 AM","2/10/11 2:00 AM","One man struck another man in the face with his fist during the course of an argument / Victim declined prosecution / Treated and released at ER","Closed","X0173",41.863546,-87.647277
"4643","Weapon Turn-in","5535 S. Ellis (Court Theater)","2/10/11 12:28 PM","2/10/11 11:30 AM","Old firearm, once used as a stage prop, turned over to CPD","Closed","X0174",41.794396,-87.601298
"4644","Fire Alarm","6031 S. Ellis (South Campus Dining Hall)","2/10/11 9:11 PM","2/10/11 9:11 PM","Alarm triggered by excessive smoke from food cooking on grill / CFD responded","Closed","X0175",41.785372,-87.601103
"4645","Theft","1362 E. 59th St. (Lab School)","2/9/11 8:23 AM","2/7/11 to 2/8/11 3:30 PM to 8:00 AM","Unknown person took cash from a wallet that was left on a desk in a classroom","Open","X0169",41.787914,-87.592867
"4646","Theft","5838 S. Kenwood (Lab School)","2/9/11 9:05 AM","12/9/10 to 2/1/11 12:00 PM to 11:30 AM","Cash taken from a desk in a classroom","Open","X0170",41.789395,-87.59324
"4647","Death Investigation","57th St. between Harper and Lake Park","2/9/11 10:45 AM","2/7/11 to 2/9/11 10:00 PM to 11:55 AM","Police conducting a well-being check at request of family members found man deceased in his residence / CPD investigation","CPD Investigation","X0171",41.735073,-87.586875
"4648","Harassment by Electronic Means","Greenwood at 58th","2/9/11 12:52 PM","1/14/11 to 2/1/11 various","Ex-boyfriend has harassed complainant with numerous unwanted email and voice messages","Open","X0172",41.814621,-87.599369
"4649","Theft","5530 S. Ellis (Ratner AC)","2/8/11 10:02 AM","2/7/11 6:30 PM to 6:50 PM","Unknown person took unattended i-Phone left on desk in unsecured office","Open","X0167",41.794467,-87.601449
"4650","Sick Person","1100 E. 57th St. (Regenstein Library)","2/8/11 10:59 AM","2/8/11 10:59 AM","Sick person transported to ER by CFD EMS","Closed","X0168",41.791492,-87.599098
"4651","Theft","5815 S. Maryland (Mitchell Hospital)","2/7/11 7:10 AM","2/6/11 9:10 PM to 9:40 PM","Unattended purse and wallet taken from patient's room","Open","X0161",41.789267,-87.604888
"4652","Public Indecency","University between 55th & 56th","2/7/11 10:03 AM","2/7/11 10:03 AM","Complainant observed an unknown man sitting on the steps of apartment building exposing himself / Subject fled before police arrived","Open","X0162",41.802349,-87.598247
"4653","Theft","1118 E. 58th St. (Eckhart Hall)","2/7/11 10:28 AM","2/6/11 to 2/7/11 11:00 PM to 7:15 AM","Man left i-Pod and wallet in the pocket of an unattended coat in an unlocked room / Unknown person took i-Pod and wallet","Open","X0163",41.789673,-87.598673
"4654","Theft","5811 S. Ellis (Cobb Hall)","2/7/11 11:33 AM","2/4/11 to 2/7/11 9:30 PM to 10:40 AM","Unknown person took a MacBook laptop computer from a secured room","Open","X0164",41.789377,-87.601183
"4655","Theft","1100 E. 58th St. (Ryerson Hall)","2/7/11 1:20 PM","2/4/11 to 2/7/11 1:00 PM to 10:30 AM","Unknown person took a MacBook computer from a desk top in a secured room / No sign of forcible entry","Open","X0165",41.789593,-87.599176
"4656","VOID","VOID","VOID","VOID","VOID","VOID","X0166",40.559156,-90.176783
"4657","Liquor Law Violation","5514 S. University (Pierce)","2/6/11 3:50 AM","2/6/11 3:50 AM","Underage person, apparently intoxicated / transported to ER by CFD EMS","Open","X0159",41.794799,-87.598233
"4658","Lost Property","60th between Ellis & Woodlawn","2/6/11 3:04 PM","2/6/11 1:30 PM to 1:45 PM","Woman reported loss of key ring with 3 keys","Closed","X0160",41.831196,-87.609555
"4659","Liquor Law Violation","Ellis between 53rd and 54th","2/5/11 2:24 AM","2/5/11 2:24 AM","Underage person, apparently intoxicated, transported to ER by CFD EMS","Open","X0156",41.798465,-87.616073
"4660","Lost Property","Kenwood between 51st & 52nd","2/5/11 7:55 PM","2/5/11 4:40 AM","Man reported losing his i-Phone while in a taxi","Closed","X0157",41.808374,-87.593778
"4661","Irregular Conditions","5800 S. Stony Island (Doctors Hospital)","2/5/11 8:21 PM","2/5/11 8:21 PM","UCPD officer found entrance doors not secured / Notifications made","Closed","X0158",41.78971,-87.586755
"4662","Fire Alarm","5640 S. University (Bartlett Commons)","2/4/11 4:00 AM","2/4/11 3:55 AM","Alarm malfunction / CFD responded / No smoke, no fire","Closed","X0151",41.792504,-87.59818
"4663","Fire Alarm","5848 S. University (Beecher Hall)","2/4/11 8:05 AM","2/4/11 8:00 AM","Power surge triggered alarm  / No smoke, no fire","Closed","X0152",41.788714,-87.598089
"4664","Telephone Threat","6030 S. Ellis (Edelstone)","2/4/11 8:30 AM","2/4/11 8:05 AM","Telephone threat conveyed as a result of a domestic situation","Open","X0153",41.78537,-87.601253
"4665","Harassment by Telephone","1101 E. 58th St. (Rosenwald Hall)","2/4/11 10:20 AM","2/4/11 10:15 AM","Report of unwanted, harassing phone calls by a relative","Closed","X0154",41.789593,-87.599176
"4666","Aggravated Assault","Blackstone between 54th & 55th","2/4/11 11:44 AM","2/4/11 11:40 AM","Man menaced another man with a knife during a confrontation on the street / Arrest by UCPD","Arrest","X0155",41.804251,-87.590539
"4667","Lost Property","51st & Lake Shore Dr.","2/3/11 12:19 PM","2/1/11 2:45 PM","Complainant left Mac laptop computer, keys, ID, credit cards, and cash on a CTA bus","Closed","X0150",41.900819,-87.624117
"4668","Fire Alarm","5540 S. Hyde Park (Broadview)","2/2/11 3:55 AM","2/2/11 3:55 AM","Faulty smoke detector triggered alarm / CFD responded / No smoke, no fire","Closed","X0149",41.794418,-87.584008
"4669","Fire Alarm","5730 S. Ellis (Crerar Library)","2/1/11 6:54 AM","2/1/11 6:54 AM","Alarm triggered by a power surge / CFD responded / No smoke, no fire","Closed","X0147",38.00446,-89.900154
"4670","Lost Property","1020 E. 55th St. (CTA Bus)","2/1/11 4:45 PM","1/31/11 4:45 PM","Man left a nylon bag containing gym clothing on a CTA bus","Closed","X0148",41.795096,-87.600814
"4671","Lost Property","Out of Area - Superior St.","1/31/11 8:38 AM","1/29/11 4:45 PM to 6:45 PM","Staff member reports losing ID and key","Closed","X0141",41.973199,-87.86681
"4672","Injured Person","6054 S. Drexel (UCPD HQ)","1/31/11 9:54 AM","1/31/11 9:45 AM","Staff member fell in stairwell injuring left shoulder / Transported to ER for treatment","Closed","X0142",41.802285,-87.603783
"4673","Theft","900 E. 57th St. Knapp Center)","1/31/11 10:53 AM","1/24/11 to 1/31/11 7:00 PM to 9:00 AM","Unknown person took I box of ""bench paper"" and 4 packages of paper for computer from a lab","Open","X0144",41.791364,-87.603741
"4674","Theft","5835 S. Greenwood (Stuart Hall)","1/31/11 11:12 AM","1/28/11 to 1/31/11 4:00 PM to 10:45 AM","Unknown person took two books from mailbox in secured office","Open","X0143",41.79323,-87.599738
"4675","Theft","5706 S. University (Reynolds Club)","1/31/11 1:15 PM","1/28/11 6:30 PM to 9:30 PM","Unknown persons took a sofa from the second floor lounge","Open","X0145",41.791316,-87.598148
