"","Incident","Location","Reported","Occurred","Comments","Disposition","UCPDI#","latitude","longitude"
"404","Non-Criminal Damage to Property","1050 E. 59th St. (Wieboldt)","6/5/14 6:24 AM","6/4/14 to 6/5/14 6:00 AM to 5:40 AM","Window in room 102 broken / Cause unknown","Closed","D00528",41.787839,-87.600059
"405","Information","1355 E. 63rd St. (Apostolic Parking Lot)","6/5/14 8:35 AM","6/5/14 8:35 AM","Unknown individual seen riding bicycle in parking lot / Dropped bicycle and fled over a fence / Bicycle inventoried for safekeeping at UCPD HQ","Closed","D00529",41.780451,-87.592832
"406","Criminal Damage to Property","5735 S. University (Calvert House)","6/5/14 10:38 AM","6/4/14 to 6/5/14 5:00 PM to 10:00 AM","Unknown person(s) forcibly turned a religious statue, located at the rear of the building, damaging the base","Open","D00530",41.790799,-87.597987
"407","Theft","950 E. 59th St. (Billings Hospital)","6/5/14 11:07 AM","5/29/14 6:45 AM to 8:00 PM","Unknown person took an unattended and unsecured laptop computer from an unsecured office","Open","D00531",41.787809,-87.602682
"408","Information","5625 S. Ellis (Max Palevsky)","6/5/14 2:01 PM","6/5/14 12:05 AM","Unknown person(s) threw eggs hitting a window / No property damage","Closed","D00532",41.792767,-87.601258
"409","Disturbance","6220 S. Kenwood","6/5/14 6:09 PM","6/5/14 5:45 PM","Argument between bus driver and pedestrian / Peace restored","Closed","D00533",41.781993,-87.593167
"410","Theft","5815 S. Maryland (Mitchell Hospital)","6/5/14 6:24 PM","6/5/14 4:00 PM to 5:45 PM","Bag containing wallet and clothing taken from patient's room","Open","D00534",41.789267,-87.604888
"411","Theft","1100 E. 57th St. (Regenstein Bike Rack)","6/4/14 12:34 PM","5/29/14 to 5/30/14 9:00 PM to 8:30 AM","Bicycle secured to bike rack taken by an unknown person","Open","D00520",41.791492,-87.599098
"412","Information","5751 S. Woodlawn (Seminary Co-Op Bookstore)","6/4/14 11:55 AM","6/4/14 11:00 AM","Individual walked out of the store in possession of an item without paying / UCPD officer detained suspect / Suspect transported to hospital by CFD for psychological evaluation / No charges filed","Closed","D00521",41.79051,-87.596363
"413","Information","1444 E. 57th St.","6/4/14 1:40 PM","6/4/14 12:00 PM","Traffic accident / Property damage only / CPD report HX289500","CPD","D00522",41.791584,-87.5901
"414","Found Property","6054 S. Drexel","6/4/14 1:47 PM","6/4/14 1:47 PM","CPD officer found back pack of University affiliated person on CTA el train / Property being held for owner at UCPD","Closed","D00524",41.784763,-87.604481
"415","Information","Kimbark between 52nd & 53rd","6/4/14 2:00 PM","6/4/14 11:00 AM","Unregistered handgun found in off campus private apartment / Turned over to CPD / CPD case HX289452","CPD","D00525",41.808827,-87.595192
"416","Lost Property","57th & Stony Island","6/4/14 4:27 PM","6/4/14 12:05 PM","Staff member reports loss of UC ID","Closed","D00526",41.793383,-87.586637
"417","Information","1212 E. 59th St. (Ida Noyes)","6/4/14 9:00 PM","6/4/14 9:00 PM","Ill person transported to ER by CFD EMS","Closed","D00527",41.787881,-87.596225
"418","Non-Criminal Damage to Vehicle","6054 S. Drexel","6/3/14 11:26 AM","6/2/14 9:25 AM","Minor damage reported on UC owned vehicle","Closed","D00516",41.784763,-87.604481
"419","Theft","5827 S. University","6/3/14 1:55 PM","6/2/14 8:30 AM to 4:00 PM","Unknown person took a mud guard from a bicycle secured to the bike rack","Open","D00517",41.789126,-87.597946
